Name,Team,G,GS,IP,ERA,ERA+,FIP,BB/9,K/9,BB,SO,K/9+,BB/9+
John Beuckelaere,BBB,6,0,9.00,2.00,229,3.72,3.00,12.00,3,12,131.4,174.5
Jesse Galindo,BBB,4,2,13.00,5.54,83,3.66,3.46,11.08,5,16,121.2,151.2
Zachary Goree,BBB,6,3,12.00,5.25,87,4.11,6.75,9.75,9,13,106.6,77.5
Rhian Mann,BBB,6,1,14.00,5.14,89,5.85,3.86,4.50,6,7,48.7,135.7
Brennan Cox,BBB,2,2,5.00,7.20,64,3.68,9.00,14.40,5,8,157.9,58.2
Michael Esposito,BBB,2,0,2.00,0.00,0,0.78,9.00,31.50,2,7,346.6,58.2
Alex Reinoehl,BBB,3,0,3.66,2.45,187,4.68,0.00,7.38,0,3,80.4,0
Bryan Camacho,BBB,6,0,9.66,1.86,246,5.66,7.45,10.25,8,11,112.1,70.2
Brian Ross,BBB,4,1,5.00,19.80,23,8.68,10.80,9.00,6,5,98.3,48.5
Nicholas Gajewski,BBB,2,1,2.33,42.43,11,19.58,34.76,3.86,9,1,41.6,15.1
Chris Kelly,EDH,5,1,9.33,0.00,0,1.78,1.93,9.65,2,10,105.4,271.3
Ethan Young,EDH,4,0,9.33,0.96,477,3.66,4.82,4.82,5,5,52.2,108.5
Luke Drummond,EDH,4,3,13.66,5.27,87,4.15,5.93,11.20,9,17,122.6,88.3
Andrew Verbrugge,EDH,3,3,11.00,7.36,62,6.37,11.45,8.18,14,10,89.3,45.7
Ryan Korolden,EDH,2,2,13.00,0.00,0,2.12,0.69,6.23,1,9,67.8,756
Jacob Wosinski (Signed),EDH,1,1,4.00,0.00,0,-0.22,0.00,15.75,0,7,172.8,0
Delmus Russ,EDH,2,0,5.66,4.76,96,4.34,7.95,9.54,5,6,104.3,65.8
Brett Erwin,EDH,4,0,3.33,5.40,85,1.17,0.00,13.51,0,5,148.1,0
Nolan Riley,EDH,5,0,5.00,16.20,28,4.08,3.60,7.20,2,4,78.5,145.4
Tristan Harvin,UU,4,3,13.00,2.77,165,3.20,0.69,6.92,1,10,75.4,756
Carsie Walker,UU,5,1,9.00,3.00,152,3.50,3.00,5.00,3,5,54.2,174.5
Conner Tomasic,UU,4,3,14.00,4.50,102,3.42,2.57,8.36,4,13,91.2,203.5
Jace Baumann,UU,6,0,8.00,2.25,203,3.91,3.38,5.63,3,5,61.1,155.1
Andrew Huffman,UU,3,2,7.33,3.68,124,5.59,7.37,18.42,6,15,202.2,71
Matt Colucci,UU,5,0,6.00,3.00,152,4.44,3.00,9.00,2,6,98.3,174.5
Jake Fiorito,UU,6,0,6.00,3.00,152,6.28,6.00,7.50,4,5,81.8,87.2
Garrett Bonnett,UU,6,0,4.66,3.86,119,8.86,13.52,7.73,7,4,84.3,38.7
Garrett Martin,WSW,4,4,19.33,2.33,196,2.76,2.33,6.52,5,14,70.9,224.8
Tyler Ruetschle,WSW,6,0,9.00,2.00,229,1.85,5.00,12.00,5,12,131.4,104.7
Timothy Pomaville,WSW,2,1,6.66,1.35,339,6.12,10.81,4.05,8,3,43.7,48.4
Kyle Bischoff (Signed) ,WSW,2,2,8.00,4.50,102,1.40,3.38,16.88,3,15,185.2,155.1
Seth Beard,WSW,5,0,7.00,2.57,178,6.42,9.00,7.71,7,6,84.1,58.2
Jeff Wilson,WSW,4,1,11.33,6.35,72,7.87,6.35,5.56,8,7,60.4,82.4
Beau Atkins,WSW,6,1,9.00,6.00,76,2.05,8.00,19.00,8,19,208.7,65.4
Alex Manasa,WSW,2,2,8.00,5.62,81,7.28,4.50,3.38,4,3,36.2,116.3
Grant Pytel (cut),WSW,2,0,3.00,12.00,38,7.28,12.00,9.00,4,3,98.3,43.6
Nathan Witt,WSW,2,0,1.66,27.00,17,6.29,10.84,10.84,2,2,118.7,48.3
