Name,Team,BB,K,PA,BB%,K%,OBP,SLG,OPS,OPS+,Disc+
Chris Davis,BBB,7,6,38,18.42%,15.79%,0.444,0.600,1.044,227,145
Ben Wilcoxson,BBB,2,2,30,6.67%,6.67%,0.457,0.379,0.836,155,195.5
Travious Ford,BBB,5,8,34,14.71%,23.53%,0.343,0.345,0.688,127,106.3
JD Stubbs,BBB,3,4,29,10.34%,13.79%,0.450,0.306,0.756,99,122.8
Termaine Spears,BBB,6,7,34,17.65%,20.59%,0.462,0.346,0.808,132,124.8
Malek Bolin,BBB,3,7,34,8.82%,20.59%,0.400,0.656,1.056,144,89.8
Andres Ugarte,BBB,0,6,28,0.00%,21.43%,0.250,0.118,0.368,20,52.6
Marcus Judd,BBB,3,6,18,16.67%,33.33%,0.273,0.276,0.549,48,100.0
Shoma Yoshida,BBB,2,5,17,11.76%,29.41%,0.250,0.118,0.368,-11,85.0
David Meech,BBB,0,11,23,0.00%,47.83%,0.120,0.160,0.280,-35,23.6
Alex Crump,BBB,4,3,12,33.33%,25.00%,0.333,0.000,0.333,19,177.5
Noah Marcoux,EDH,4,6,28,14.29%,21.43%,0.464,0.455,0.919,171,109.3
Taj Porter,EDH,3,4,16,18.75%,25.00%,0.348,0.421,0.769,212,119.6
Anthony Flores,EDH,1,6,32,3.13%,18.75%,0.385,0.375,0.760,138,72.5
Alex Pup,EDH,3,6,31,9.68%,19.35%,0.395,0.241,0.636,83,96.7
Joe Burke,EDH,2,3,19,10.53%,15.79%,0.360,0.450,0.810,157,113.2
Chris O'neal,EDH,2,7,23,8.70%,30.43%,0.346,0.391,0.737,93,71.6
Bryant Shellenbarger,EDH,4,8,32,12.50%,25.00%,0.368,0.406,0.774,69,94.7
Whitt Hughes,EDH,1,6,19,5.26%,31.58%,0.182,0.143,0.325,11,56.6
Chris Iazzeta,EDH,4,7,29,13.79%,24.14%,0.314,0.321,0.635,68,101.5
Todd Mattox,EDH,4,4,21,19.05%,19.05%,0.259,0.261,0.520,4,134.8
Chandler Dunn,EDH,6,9,34,17.65%,26.47%,0.308,0.250,0.558,80,112.7
James Moses,UU,4,1,20,20.00%,5.00%,0.458,0.400,0.858,144,304.8
Nick Pastore,UU,2,5,25,8.00%,20.00%,0.400,0.385,0.785,164,88.1
Donovyn Curiel,UU,0,5,27,0.00%,18.52%,0.290,0.241,0.531,80,60.8
Alec Brunson,UU,2,6,19,10.53%,31.58%,0.348,0.250,0.598,81,77.5
Justin Gomez,UU,4,1,22,18.18%,4.55%,0.364,0.278,0.642,89,320.1
Patrick Baggett,UU,7,4,29,24.14%,13.79%,0.412,0.217,0.629,81,177.6
Jacob Bisharat,UU,3,7,26,11.54%,26.92%,0.308,0.304,0.612,81,87.7
Alejandro Lara,UU,3,4,22,13.64%,18.18%,0.385,0.400,0.785,129,116.1
Josh Baker,UU,3,6,25,12.00%,24.00%,0.320,0.524,0.844,151,94.6
Cam Norgren,UU,1,6,25,4.00%,24.00%,0.241,0.269,0.510,-43,62.8
Nick Caruso,UU,0,0,5,0.00%,0.00%,0.500,0.500,1.000,195,0.0
Lucas Goodin,UU,1,1,9,11.11%,11.11%,0.357,0.182,0.539,1,145.5
Francis Florentino,WSW,3,6,40,7.50%,15.00%,0.444,0.619,1.063,226,104.9
Burle Dixon,WSW,11,8,40,27.50%,20.00%,0.533,0.515,1.048,225,165.6
Priamo Lozada,WSW,3,9,34,8.82%,26.47%,0.282,0.361,0.643,102,77.6
Alex Steinbach,WSW,5,10,35,14.29%,28.57%,0.343,0.214,0.557,63,96.2
Reese Trahey,WSW,4,11,35,11.43%,31.43%,0.308,0.206,0.514,51,81.3
Nick Webre,WSW,8,10,40,20.00%,25.00%,0.356,0.294,0.650,109,124.5
Duncan Hewitt,WSW,5,7,31,16.13%,22.58%,0.306,0.241,0.547,65,114.0
Zach Beadle,WSW,3,6,26,11.54%,23.08%,0.300,0.200,0.500,57,94.7
Denver Blinn,WSW,4,18,37,10.81%,48.65%,0.268,0.171,0.439,17,66.1
Ward Hacklen,WSW,3,3,23,13.04%,13.04%,0.464,0.300,0.764,69,138.2
